Question,Equation,Answer,Numbers
K = number0 . W = number1 . F = number2 . P = number3 . F + H - K + W = P . H ?,- + - number3 number1 number0 number2,76,84 102 569 663
U = number0 . T = number1 . B = number2 . W = number3 . Z = number4 . number5 / T * N = U . N ?,/ number0 / number5 number1,70,4270.0 14 412 888 41 854
L = number0 . K = number1 . R = number2 . I = number3 . W = number4 . J = number5 . B / R / L + I = K . B ?,* * - number1 number3 number0 number2,98,7 508.0 2 501 40 948
V = number0 . ( number1 / number2 - number3 ) * V = N . N ?,* - / number1 number2 number3 number0,52.0,13 36 6 2
X = number0 . H = number1 . F = number2 . B = number3 . B / H / X * number4 = O . O ?,* / / number3 number1 number0 number4,240.0,14 3 323 210 48
U = number0 . O = number1 . K = number2 . O / number3 - V - number4 = U . V ?,- / number1 number3 + number0 number4,93,15.0 561 398 3 79
U = number0 . D = number1 . V = number2 . F = number3 . C = number4 . B / F = U . B ?,* number0 number3,98,2.0 546 822 49 713
L = number0 . L + number1 - T = number2 . T ?,- + number0 number1 number2,292,61 756 525
F = number0 . O = number1 . L = number2 . G = number3 . S = number4 . ( L * number5 - P ) / F = O . P ?,- * number2 number5 * number1 number0,90,3687 2.0 933 957 239 8
F = number0 . Y = number1 . T = number2 . number3 * H = number4 . H ?,/ number4 number3,71,723 622 518 41 2911
G = number0 . X = number1 . K = number2 . X - G + T = K . T ?,- number2 - number1 number0,377,30 56 403
L = number0 . K = number1 . I = number2 . F = number3 . G / I + K - number4 = number5 . G ?,* - + number5 number4 number1 number2,92,553 48 4 452 66 5.0
P = number0 . R = number1 . S = number2 . T = number3 . ( P - R + S ) * C = T . C ?,/ number3 + - number0 number1 number2,2,1567 21 395 3882
I = number0 . R = number1 . G = number2 . D = number3 . I * J - number4 - number5 = R . J ?,/ + + number1 number5 number4 number0,36,45 1511 732 488 11 98
F = number0 . T = number1 . S = number2 . ( F / number3 + Q ) * T = S . Q ?,- / number2 number1 / number0 number3,83,6 42 3570.0 3
G = number0 . E = number1 . F = number2 . J = number3 . Q = number4 . K = number5 . E / G * Q - K = S . S ?,- * / number1 number0 number4 number5,587.0,7 399 719 912 11 40
R = number0 . S = number1 . N = number2 . V / S * N / number3 = R . V ?,* / * number0 number3 number2 number1,6,22.0 3 99 9
M = number0 . V = number1 . ( number2 / number3 + Q ) * number4 = V . Q ?,- / number1 number4 / number2 number3,55,126 406.0 1317 439 7
M = number0 . K = number1 . S = number2 . H = number3 . E = number4 . Y = number5 . H * S * M / E = G . G ?,/ * * number3 number2 number0 number4,2214.0,27 174 82 3 3 587
K = number0 . E = number1 . X = number2 . K * N * X = E . N ?,/ / number1 number2 number0,5,53 3180 12
K = number0 . C = number1 . R = number2 . C + K + L = R . L ?,- number2 + number1 number0,251,318 27 596
D = number0 . K = number1 . E = number2 . F + K - number3 = E . F ?,- + number2 number3 number1,55,358 75 121 9
F = number0 . H = number1 . U = number2 . J = number3 . B = number4 . S = number5 . J + B + D + S = F . D ?,- - number0 number5 + number3 number4,16,944 422 434 333 287 308
K = number0 . L = number1 . B = number2 . M = number3 . G = number4 . S = number5 . L * T = K . T ?,/ number0 number1,11,1034 94 742 695 231 104
I = number0 . G = number1 . G - V = I . V ?,- number1 number0,107,1105 1212
U = number0 . K = number1 . E = number2 . X = number3 . V = number4 . O = number5 . E - U - J = K . J ?,- - number2 number0 number1,8,51 23 82 20 725 682
H = number0 . B = number1 . R = number2 . O = number3 . H * X = O . X ?,/ number3 number0,8,995 999 403 7960
K = number0 . W = number1 . T = number2 . ( W + T ) / V = number3 . V ?,/ + number1 number2 number3,156,521 703 1013 11.0
J = number0 . U = number1 . J + U = K . K ?,+ number0 number1,91,8 83
N = number0 . U = number1 . I = number2 . V = number3 . P = number4 . T - U - I = V . T ?,+ + number3 number2 number1,1706,228 5 58 1643 873
G = number0 . M = number1 . O = number2 . H = number3 . C = number4 . G / N / H = M . N ?,/ number0 * number1 number3,7,28 2.0 328 2 579
Q = number0 . S = number1 . H = number2 . W = number3 . B = number4 . H - P + number5 + B = W . P ?,- number2 - - number3 number4 number5,340,430 932 1301 1827 426 440
M = number0 . K = number1 . H = number2 . Z = number3 . ( Z - H + J ) * K = M . J ?,- / number0 number1 - number3 number2,199,2472 12 81 88
J = number0 . C = number1 . Q = number2 . U = number3 . C + U - number4 = V . V ?,- + number1 number3 number4,39,436 82 416 46 89
L = number0 . W = number1 . K = number2 . F = number3 . G + F - L = K . G ?,- + number2 number0 number3,660,252 279 783 375
Z = number0 . K = number1 . S = number2 . number3 * Z / Q - number4 = K . Q ?,/ * number3 number0 + number1 number4,53,53 45.0 817 60 15
D = number0 . Y = number1 . G = number2 . N = number3 . ( number4 + G ) / Y / D = B . B ?,/ / + number4 number2 number1 number0,5.0,11 11 273 648 332
F = number0 . D = number1 . O = number2 . ( O + U ) / F = D . U ?,- * number1 number0 number2,380,2 379.0 378
V = number0 . Q = number1 . number2 / O = V . O ?,/ number2 number0,132,2.0 48 264
R = number0 . G = number1 . I = number2 . Y = number3 . G - I - number4 = P . P ?,- - number1 number2 number4,593,676 879 122 649 164
B = number0 . G = number1 . W = number2 . J = number3 . P = number4 . D / W - J = G . D ?,* + number1 number3 number2,85,4 5.0 5 12 50
S = number0 . Q = number1 . T = number2 . U = number3 . T / number4 / S * Q = I . I ?,* / / number2 number4 number0 number1,182.0,13 91 1898 503 73
O = number0 . N = number1 . G = number2 . U = number3 . V = number4 . K = number5 . K * T * N + O = U . T ?,/ / - number3 number0 number1 number5,69,912 17 493 5604 173 4
M = number0 . I = number1 . N = number2 . F = number3 . Z = number4 . ( F + I ) / E + Z = number5 . E ?,/ + number3 number1 - number5 number4,2,713 10 882 254 45 177.0
R = number0 . J = number1 . N = number2 . ( R - number3 ) / Z = N . Z ?,/ - number0 number3 number2,11,170 760 13.0 27
C = number0 . U = number1 . D = number2 . O = number3 . G = number4 . D / number5 - V = O . V ?,- / number2 number5 number3,18,285 134 308 4.0 297 14
Z = number0 . F = number1 . Q = number2 . H = number3 . I = number4 . O = number5 . I / O = R . R ?,/ number4 number5,10.0,246 268 33 983 50 5
L = number0 . E = number1 . M = number2 . H = number3 . S = number4 . Y = number5 . ( E + M ) / F / H = S . F ?,/ + number1 number2 * number4 number3,7,193 80 284 2 26.0 864
O = number0 . Q = number1 . S = number2 . number3 * O - number4 = C . C ?,- * number3 number0 number4,958,45 151 742 22 32
T = number0 . L = number1 . N = number2 . number3 * number4 / L = X . X ?,/ * number3 number4 number1,5.0,230 120 497 24 25
T = number0 . X = number1 . K = number2 . N = number3 . S = number4 . N / number5 / X + T = Q . Q ?,+ / / number3 number5 number1 number0,859.0,848 2 438 44 967 2
N = number0 . O = number1 . H = number2 . M = number3 . O / M = R . R ?,/ number1 number3,4.0,161 112 379 28
Q = number0 . R = number1 . M = number2 . ( M - Q ) * K = R . K ?,/ number1 - number2 number0,20,351 920 397
H = number0 . C = number1 . B = number2 . T / C = number3 . T ?,* number3 number1,698,742 2 975 349.0
I = number0 . ( I / number1 + number2 ) / V = number3 . V ?,/ + / number0 number1 number2 number3,5,62 2 124 31.0
D = number0 . I = number1 . Q = number2 . O = number3 . E / I * Q - D = O . E ?,* / + number3 number0 number2 number1,146,89 2 49 3488.0
D = number0 . N = number1 . P = number2 . X = number3 . P / N * D * V = X . V ?,/ number3 * / number2 number1 number0,60,25 114 228 3000.0
G = number0 . B = number1 . Q = number2 . Z = number3 . X = number4 . Z - Q = E . E ?,- number3 number2,185,478 293 90 275 695
V = number0 . Q = number1 . I = number2 . X * number3 - Q = I . X ?,/ + number2 number1 number3,83,161 38 1124 14
S = number0 . V = number1 . G = number2 . Y = number3 . V / K + S - G = Y . K ?,/ number1 - + number3 number2 number0,2,39 138 54 54.0
Q = number0 . V = number1 . Y = number2 . F = number3 . S = number4 . Z = number5 . Z - F = K . K ?,- number5 number3,1787,578 892 454 146 210 1933
B = number0 . H = number1 . number2 + number3 - B - K = H . K ?,- - + number2 number3 number0 number1,64,229 1496 30 1759
J = number0 . N = number1 . I = number2 . Y = number3 . Y * J * N = R . R ?,* * number3 number0 number1,7182,9 42 791 19
D = number0 . T = number1 . D * number2 - Q = T . Q ?,- * number0 number2 number1,79,98 7369 76
L = number0 . X = number1 . B = number2 . W = number3 . M = number4 . ( B - L ) * K - M = X . K ?,/ + number1 number4 - number2 number0,38,7 2430 72 131 40
I = number0 . O = number1 . J = number2 . B = number3 . H + B - I + J = O . H ?,- + - number1 number2 number0 number3,1253,78 3149 1868 106
Y = number0 . F = number1 . S = number2 . ( number3 + U ) / F = Y . U ?,- * number0 number1 number3,18,33.0 6 96 180
F = number0 . number1 * number2 / J = F . J ?,/ * number1 number2 number0,2,396.0 8 99
S = number0 . T = number1 . P = number2 . ( number3 - Y ) * T / P = S . Y ?,- number3 / * number0 number2 number1,4,4.0 64 736 50
J = number0 . Y = number1 . Z = number2 . U = number3 . S = number4 . B = number5 . S * I + J + Z = B . I ?,/ - - number5 number2 number0 number4,40,59 480 1575 209 65 4234
M = number0 . G = number1 . Q = number2 . V = number3 . R = number4 . X = number5 . V + G - W = R . W ?,- + number3 number1 number4,71,521 41 914 375 345 947
H = number0 . T = number1 . I = number2 . Z + T = H . Z ?,- number0 number1,58,375 317 444
Z = number0 . I = number1 . Q = number2 . N = number3 . Z * Q - U = I . U ?,- * number0 number2 number1,63,192 9153 48 178
R = number0 . X = number1 . U = number2 . X / R - D = U . D ?,- / number1 number0 number2,8,3 249 75.0
R = number0 . T = number1 . ( B - number2 ) * number3 * R = T . B ?,+ / / number1 number0 number3 number2,371,6 9600 51 5
U = number0 . H = number1 . C = number2 . D = number3 . S = number4 . G = number5 . D - H - E = G . E ?,- - number3 number1 number5,11,590 1679 424 1743 616 53
S = number0 . O = number1 . X = number2 . N = number3 . O / N - X - C = S . C ?,- - / number1 number3 number2 number0,69,126.0 568 89 2
Z = number0 . L = number1 . H = number2 . H / X + L - number3 = Z . X ?,/ number2 - + number0 number3 number1,3,1281.0 1334 177 112
V = number0 . K = number1 . P = number2 . number3 / M / P + V = K . M ?,/ number3 * - number1 number0 number2,8,90 92.0 2 32
P = number0 . U = number1 . T = number2 . Y = number3 . S = number4 . number5 * L = U . L ?,/ number1 number5,4,234 248 331 371 764 62
N = number0 . K = number1 . Y = number2 . R = number3 . X = number4 . Y / X * P / R = N . P ?,/ * number0 number3 / number2 number4,2,24.0 609 972 27 3
U = number0 . Z = number1 . W = number2 . U / Z + W = X . X ?,+ / number0 number1 number2,122.0,1521 39 83
X = number0 . W = number1 . E = number2 . Y = number3 . N = number4 . ( X - number5 ) / R / N = E . R ?,/ - number0 number5 * number2 number4,-1,67 873 3.0 490 3 76
M = number0 . L = number1 . Y = number2 . V = number3 . W = number4 . ( S / Y + M ) * V = number5 . S ?,* - / number5 number3 number0 number2,1766,1904 297 883 2 125 3812.0
U = number0 . O = number1 . J = number2 . E = number3 . H = number4 . J * P / number5 / E = O . P ?,/ * * number1 number3 number5 number2,85,238 5.0 36 34 267 18
Y = number0 . Y / L = number1 . L ?,/ number0 number1,3,45 15.0
W = number0 . Q = number1 . I = number2 . I * Q = Y . Y ?,* number2 number1,1170,433 15 78
S = number0 . Q = number1 . O * Q = S . O ?,/ number0 number1,291,6402 22
I = number0 . U = number1 . E = number2 . number3 * I * R = E . R ?,/ number2 * number3 number0,2,19 383 608 16
U = number0 . I = number1 . H = number2 . M = number3 . F = number4 . W = number5 . Z / M / U / I = F . Z ?,* * * number4 number1 number0 number3,72,4 3 595 2 3.0 113
Y = number0 . I = number1 . S = number2 . H = number3 . ( H - number4 ) / Y + Q = I . Q ?,- number1 / - number3 number4 number0,171,3 158.0 573 54 93
B = number0 . O = number1 . F = number2 . Q = number3 . H * number4 - number5 - B = O . H ?,/ + + number1 number0 number5 number4,45,98 1511 732 488 36 11
P = number0 . Z = number1 . C = number2 . F = number3 . C * O + number4 + number5 = F . O ?,/ - - number3 number5 number4 number2,37,463 929 180 6752 80 12
M = number0 . X = number1 . Q = number2 . L = number3 . J = number4 . number5 + J + L = P . P ?,+ + number5 number4 number3,2566,427 646 505 75 1873 618
W = number0 . M = number1 . ( W + M ) / number2 = L . L ?,/ + number0 number1 number2,221.0,393 49 2
M = number0 . F = number1 . O = number2 . S = number3 . Z = number4 . E = number5 . T / E - F = Z . T ?,* + number4 number1 number5,344,998 42 769 692 130.0 2
H = number0 . F = number1 . S = number2 . S / W = H . W ?,/ number2 number0,107,3.0 589 321
C = number0 . S = number1 . L = number2 . T = number3 . J = number4 . ( L + N - C ) * S = J . N ?,- + / number4 number1 number0 number2,15,8 28 58 102 1820
D = number0 . H = number1 . V = number2 . D + V - C = H . C ?,- + number0 number2 number1,250,241 317 326
Z = number0 . J = number1 . H = number2 . V = number3 . ( F - J ) / V = H . F ?,+ * number2 number3 number1,1732,759 41 19.0 89
B = number0 . I = number1 . J = number2 . W = number3 . B * G * I / J = W . G ?,/ / * number3 number2 number1 number0,56,86 64 896 344.0
Z = number0 . X = number1 . P = number2 . J = number3 . T = number4 . R = number5 . T / Z * P + J = Y . Y ?,+ * / number4 number0 number2 number3,369.0,653 468 58 195 1959 645
Z = number0 . X = number1 . P = number2 . O = number3 . H = number4 . G = number5 . K * H - Z + G = P . K ?,/ + - number2 number5 number0 number4,37,61 775 2219 187 56 208
K = number0 . M = number1 . U = number2 . N = number3 . D = number4 . ( K + O - D ) / M = U . O ?,- + * number2 number1 number4 number0,41,36 13 2.0 77 51
X = number0 . P = number1 . V = number2 . T = number3 . D = number4 . P * E + V - number5 = T . E ?,/ - + number3 number5 number2 number1,8,152 943 2 7482 191 64
T = number0 . H = number1 . J / H = T . J ?,* number0 number1,218,109.0 2
Y = number0 . E = number1 . L = number2 . Y * Z * E * number3 = L . Z ?,/ / / number2 number3 number1 number0,44,2 4 1760 5
F = number0 . P = number1 . U = number2 . L = number3 . V = number4 . ( L + V ) / number5 / F = G . G ?,/ / + number3 number4 number5 number0,2.0,13 727 217 140 94 9
H = number0 . P = number1 . Z = number2 . ( Z + W ) / number3 * number4 = P . W ?,- * / number1 number4 number3 number2,729,908 108.0 263 496 54
K = number0 . Y = number1 . Z = number2 . I = number3 . T / Y + Z = I . T ?,* - number3 number2 number1,49,121 7 766 773.0
X = number0 . M = number1 . I = number2 . V = number3 . X / M - V = Y . Y ?,- / number0 number1 number3,8.0,70 7 662 2
X = number0 . T = number1 . O = number2 . W = number3 . I = number4 . ( X - W ) / R = number5 . R ?,/ - number0 number3 number5,17,66 554 841 15 472 3.0
Y = number0 . X = number1 . R = number2 . M = number3 . V / M + R - Y = X . V ?,* - + number1 number0 number2 number3,14,1583 80.0 1656 2
P = number0 . L = number1 . G = number2 . ( G + P + number3 ) / Y = L . Y ?,/ + + number2 number0 number3 number1,1613,1780 2.0 37 1409
U = number0 . C = number1 . Q = number2 . Z = number3 . J = number4 . M = number5 . ( Z - Y ) / U = M . Y ?,- number3 * number5 number0,278,5 850 150 288 138 2.0
Q = number0 . S = number1 . G = number2 . D = number3 . I = number4 . ( G + number5 ) * D / Q = K . K ?,/ * + number2 number5 number3 number0,9.0,7038 559 434 46 811 943
M = number0 . H = number1 . X = number2 . Y = number3 . ( L / M + H ) / Y = X . L ?,* - * number2 number3 number1 number0,82,2 135 4.0 44
T = number0 . M = number1 . Y = number2 . I = number3 . ( V + Y - T ) / I = M . V ?,- + * number1 number3 number0 number2,985,258 5.0 558 257
V = number0 . O = number1 . Y = number2 . X = number3 . M / number4 = X . M ?,* number3 number4,1750,216 845 251 250.0 7
Z = number0 . J = number1 . F = number2 . ( J + number3 ) / K = F . K ?,/ + number1 number3 number2,15,490 87 10.0 63
S = number0 . K = number1 . E = number2 . T = number3 . Y = number4 . ( number5 / S + E ) / J = K . J ?,/ + / number5 number0 number2 number1,70,3 3.0 201 622 589 27
H = number0 . R = number1 . Z = number2 . P = number3 . D = number4 . R / Z - K + number5 = H . K ?,- / number1 number2 - number0 number5,16,621.0 42 14 170 847 634
J = number0 . P = number1 . Z = number2 . W / P * number3 = number4 . W ?,* / number4 number3 number1,608,768 2 438 15 4560.0
